,0
0,POWRUSDT
1,FISUSDT
2,ACHUSDT
3,GALAUSDT
4,PERPUSDT
5,ALCXUSDT
6,PONDUSDT
7,DOTUSDT
8,AVAXUSDT
9,TRUUSDT
10,DREPUSDT
11,ARPAUSDT
12,IMXUSDT
13,KSMUSDT
14,FETUSDT
15,LRCUSDT
16,ENJUSDT
17,OPUSDT
18,BTCUSDT
19,IDEXUSDT
20,FARMUSDT
21,ERNUSDT
22,PAXUSDT
23,POLYUSDT
24,GNOUSDT
25,XRPUSDT
26,LINKUSDT
27,POLSUSDT
28,ETHUSDT
29,ORNUSDT
30,DIAUSDT
31,ROSEUSDT
32,CLVUSDT
33,ICPUSDT
34,XLMUSDT
35,AXSUSDT
36,GALUSDT
37,REQUSDT
38,ATAUSDT
39,VGXUSDT
40,ADAUSDT
41,BONDUSDT
42,APTUSDT
43,USTUSDT
44,SANDUSDT
45,RNDRUSDT
46,STGUSDT
47,MATICUSDT
48,HFTUSDT
49,BICOUSDT
50,FLOWUSDT
51,HBARUSDT
52,MDTUSDT
53,SOLUSDT
54,SUPERUSDT
55,NEARUSDT
56,MASKUSDT
57,BADGERUSDT
58,QNTUSDT
59,API3USDT
60,AUCTIONUSDT
61,RADUSDT
62,LQTYUSDT
63,CHZUSDT
64,C98USDT
65,AGLDUSDT
66,SPELLUSDT
67,JASMYUSDT
68,GMTUSDT
69,FIDAUSDT
70,SHIBUSDT
71,ATOMUSDT
72,DOGEUSDT
73,APEUSDT
74,STXUSDT
75,MINAUSDT
76,ENSUSDT
77,ZENUSDT
